,group,variable,value,articles
88,2014-02,2040,1,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'
89,2014-02,2050,1,Amory Lovins: energy visionary sees renewables revolution in full swing
90,2014-02,2051,1,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'
94,2014-03,1984,1,Berlin 'borrowing shop' promotes the benefits of sharing
95,2014-03,1993,1,Are we already living in the technological singularity?
96,2014-03,2001,1,"When robots take our jobs, humans will be the new 1%. Here's how to fight back | Michael Belfiore"
97,2014-03,2002,1,Has the time come for floating cities?
98,2014-03,2005,1,Are we already living in the technological singularity?
99,2014-03,2010,1,"Flood damage cost to rise fivefold across Europe, study says"
100,2014-03,2011,1,Berlin 'borrowing shop' promotes the benefits of sharing
101,2014-03,2012,1,Berlin 'borrowing shop' promotes the benefits of sharing
102,2014-03,2013,1,"Flood damage cost to rise fivefold across Europe, study says"
103,2014-03,2015,1,"When robots take our jobs, humans will be the new 1%. Here's how to fight back | Michael Belfiore"
104,2014-03,2029,1,Are we already living in the technological singularity?
105,2014-03,2030,1,"Flood damage cost to rise fivefold across Europe, study says"
106,2014-03,2050,1,"Flood damage cost to rise fivefold across Europe, study says"
109,2014-04,1971,1,Occupy was right: capitalism has failed the world
110,2014-04,1984,2,"Justices question Aereo's plea to avoid paying fees to TV broadcasters<br><br>James Lovelock: 'Instead of robots taking over the world, what if we join with them?'"
111,2014-04,1989,1,Occupy was right: capitalism has failed the world
112,2014-04,1991,1,Occupy was right: capitalism has failed the world
113,2014-04,1997,1,Genetic inheritance: How much do you want to know?
114,2014-04,2000,1,Genetic inheritance: How much do you want to know?
115,2014-04,2004,2,Five wonder materials that could change the world<br><br>Why do car dealers and Republicans want to eliminate Tesla's sales model? | Travis McKnight
116,2014-04,2006,1,"James Lovelock: 'Instead of robots taking over the world, what if we join with them?'"
117,2014-04,2007,2,Occupy was right: capitalism has failed the world<br><br>Why do car dealers and Republicans want to eliminate Tesla's sales model? | Travis McKnight
118,2014-04,2008,3,Genetic inheritance: How much do you want to know?<br><br>Occupy was right: capitalism has failed the world<br><br>Justices question Aereo's plea to avoid paying fees to TV broadcasters
119,2014-04,2010,1,Robots and sex: creepy or cool? | Tauriq Moosa
120,2014-04,2011,3,"Occupy was right: capitalism has failed the world<br><br>James Lovelock: 'Instead of robots taking over the world, what if we join with them?'<br><br>Why do car dealers and Republicans want to eliminate Tesla's sales model? | Travis McKnight"
121,2014-04,2012,2,Genetic inheritance: How much do you want to know?<br><br>Nasa asks members of public to select spacesuit of the future
122,2014-04,2013,6,"Genetic inheritance: How much do you want to know?<br><br>Occupy was right: capitalism has failed the world<br><br>Children can swipe a screen but can't use toy building blocks, teachers warn<br><br>Justices question Aereo's plea to avoid paying fees to TV broadcasters<br><br>James Lovelock: 'Instead of robots taking over the world, what if we join with them?'<br><br>Why do car dealers and Republicans want to eliminate Tesla's sales model? | Travis McKnight"
123,2014-04,2015,1,Body swapping: the science behind the switch | Dean Burnett
124,2014-04,2020,1,Justices question Aereo's plea to avoid paying fees to TV broadcasters
125,2014-04,2050,1,Robots and sex: creepy or cool? | Tauriq Moosa
127,2014-05,1976,1,How do you build a city in space?
128,2014-05,1978,1,Waking up ISEE-3: spacecraft from 1978 gets crowdfunded reboot
129,2014-05,1986,2,How do you build a city in space?<br><br>Waking up ISEE-3: spacecraft from 1978 gets crowdfunded reboot
130,2014-05,1988,1,How do you build a city in space?
131,2014-05,1995,1,How do you build a city in space?
132,2014-05,1997,1,Waking up ISEE-3: spacecraft from 1978 gets crowdfunded reboot
133,2014-05,2001,1,How do you build a city in space?
134,2014-05,2004,1,First life forms to pass on artificial DNA engineered by US scientists
135,2014-05,2006,1,How do you build a city in space?
136,2014-05,2010,1,How do you build a city in space?
137,2014-05,2013,3,"Sony's Project Morpheus brings virtual reality to mainstream console gaming<br><br>How do you build a city in space?<br><br>My week on Soylent: 'I was irritable, grumpy and a general pain in the arse'"
138,2014-05,2015,1,How do you build a city in space?
139,2014-05,2020,1,The UK powered on 90% renewables by 2030? A bold future for energy
140,2014-05,2024,1,How do you build a city in space?
141,2014-05,2025,1,How do you build a city in space?
142,2014-05,2030,1,The UK powered on 90% renewables by 2030? A bold future for energy
143,2014-05,2050,1,The UK powered on 90% renewables by 2030? A bold future for energy
145,2014-06,1970,1,The open source revolution is coming and it will conquer the 1% - ex CIA spy | Nafeez Ahmed
146,2014-06,1976,1,The open source revolution is coming and it will conquer the 1% - ex CIA spy | Nafeez Ahmed
147,2014-06,1979,1,Stephen Wolfram: 'The textbook has never interested me'
148,2014-06,1982,2,"Robot doctors, online lawyers and automated architects: the future of the professions?<br><br>Stephen Wolfram: 'The textbook has never interested me'"
149,2014-06,1984,1,Stephen Wolfram: 'The textbook has never interested me'
150,2014-06,1987,1,Stephen Wolfram: 'The textbook has never interested me'
151,2014-06,1991,1,Stephen Wolfram: 'The textbook has never interested me'
152,2014-06,1992,1,The open source revolution is coming and it will conquer the 1% - ex CIA spy | Nafeez Ahmed
153,2014-06,1994,1,Pepper-spray drone offered to South African mines for strike control
154,2014-06,1995,1,The open source revolution is coming and it will conquer the 1% - ex CIA spy | Nafeez Ahmed
155,2014-06,2000,1,Doctors vote for ban on UK cigarette sales to those born after 2000
156,2014-06,2002,2,Doctors vote for ban on UK cigarette sales to those born after 2000<br><br>Stephen Wolfram: 'The textbook has never interested me'
157,2014-06,2009,2,"Robot doctors, online lawyers and automated architects: the future of the professions?<br><br>Stephen Wolfram: 'The textbook has never interested me'"
158,2014-06,2011,3,Seriously ill patients could receive untested treatments under new bill<br><br>Doctors vote for ban on UK cigarette sales to those born after 2000<br><br>Stephen Wolfram: 'The textbook has never interested me'
159,2014-06,2012,3,"Robot doctors, online lawyers and automated architects: the future of the professions?<br><br>Pepper-spray drone offered to South African mines for strike control<br><br>Stephen Wolfram: 'The textbook has never interested me'"
160,2014-06,2013,2,"Norman Foster unveils plans for elevated 'SkyCycle' bike routes in London<br><br>Robot doctors, online lawyers and automated architects: the future of the professions?"
161,2014-06,2015,2,Robot pods and 'sentiment mapping': the future of commuting<br><br>Stephen Wolfram: 'The textbook has never interested me'
162,2014-06,2018,1,Robot pods and 'sentiment mapping': the future of commuting
163,2014-06,2020,1,"Robot doctors, online lawyers and automated architects: the future of the professions?"
164,2014-06,2035,1,Doctors vote for ban on UK cigarette sales to those born after 2000
171,2014-07,1972,1,Britain plans to build commercial spaceport
172,2014-07,1973,1,Superintelligence by Nick Bostrom and A Rough Ride to the Future by James Lovelock  review
173,2014-07,1984,1,William Gibson and Neuromancer: the man who saw tomorrow
174,2014-07,2003,1,William Gibson and Neuromancer: the man who saw tomorrow
175,2014-07,2007,1,"Why the modern bathroom is a wasteful, unhealthy design"
176,2014-07,2010,2,"Greens living in ivory towers now want to farm them too | George Monbiot<br><br>From Concorde to the iPhone, state intervention drives technological innovation | Paul Mason"
177,2014-07,2013,6,"Solar has won. Even if coal were free to burn, power stations couldn't compete | Giles Parkinson<br><br>Scientists threaten to boycott 1.2bn Human Brain Project<br><br>The best of capitalism is over for rich countries  and for the poor ones it will be over by 2060 | Paul Mason<br><br>Helsinki's ambitious plan to make car ownership pointless in 10 years<br><br>Laboratory-grown beef: meat without the murder, but would you eat it?<br><br>Companies proclaim water the next oil in a rush to turn resources into profit"
178,2014-07,2015,1,Formula E: do the guilt-free thrills of electric car racing herald a new era for motor sport?
179,2014-07,2018,2,"Solar has won. Even if coal were free to burn, power stations couldn't compete | Giles Parkinson<br><br>Britain plans to build commercial spaceport"
180,2014-07,2025,1,Helsinki's ambitious plan to make car ownership pointless in 10 years
181,2014-07,2030,2,Britain plans to build commercial spaceport<br><br>Superintelligence by Nick Bostrom and A Rough Ride to the Future by James Lovelock  review
182,2014-07,2040,1,"Solar has won. Even if coal were free to burn, power stations couldn't compete | Giles Parkinson"
183,2014-07,2044,1,The best of capitalism is over for rich countries  and for the poor ones it will be over by 2060 | Paul Mason
184,2014-07,2060,1,The best of capitalism is over for rich countries  and for the poor ones it will be over by 2060 | Paul Mason
191,2014-08,2003,2,"Open data and driverless buses: how London transport heads to the future<br><br>The scientific A-Team saving the world from killer viruses, rogue AI and the paperclip apocalypse"
192,2014-08,2008,1,Amputee hails new prosthetic: 'It's like they've given me my leg back'
193,2014-08,2010,1,Artificial Intelligence will not turn into a Frankenstein monster
194,2014-08,2011,1,"The scientific A-Team saving the world from killer viruses, rogue AI and the paperclip apocalypse"
195,2014-08,2012,1,Google buys neural network city guide creator Jetpac
196,2014-08,2013,4,"Google buys neural network city guide creator Jetpac<br><br>Google lobbies to test self-driving cars in Matrix-style virtual world<br><br>Big power out, solar in: UBS urges investors to join renewables revolution<br><br>The scientific A-Team saving the world from killer viruses, rogue AI and the paperclip apocalypse"
197,2014-08,2020,1,"Big power out, solar in: UBS urges investors to join renewables revolution"
198,2014-08,2025,3,"Stop predicting the future. Leave that to the robot who's going to steal your job | Jess Zimmerman<br><br>RoboThespian: the first commercial robot that behaves like a person<br><br>Big power out, solar in: UBS urges investors to join renewables revolution"
203,2014-09,1970,1,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner
204,2014-09,1972,1,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner
205,2014-09,1978,1,Will robots take over the world? The social impact of automation
206,2014-09,1980,1,Human DNA belongs to no one - it shouldn't be patented
207,2014-09,1988,1,Human DNA belongs to no one - it shouldn't be patented
208,2014-09,1989,2,Human DNA belongs to no one - it shouldn't be patented<br><br>Naomi Klein: We tried it your way and we dont have another decade to waste
209,2014-09,1990,1,Silicon Valley: an army of geeks and 'coders' shaping our future
210,2014-09,1998,1,Human DNA belongs to no one - it shouldn't be patented
211,2014-09,1999,1,Silicon Valley: an army of geeks and 'coders' shaping our future
212,2014-09,2000,1,Silicon Valley: an army of geeks and 'coders' shaping our future
213,2014-09,2002,1,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner
214,2014-09,2005,1,Human DNA belongs to no one - it shouldn't be patented
215,2014-09,2007,1,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner
216,2014-09,2008,1,Can Narendra Modi bring the solar power revolution to India?
217,2014-09,2009,3,Conscious computers are a delusion | Raymond Tallis<br><br>U2 and Apple collaborate on non-piratable 'interactive format for music'<br><br>Naomi Klein: We tried it your way and we dont have another decade to waste
218,2014-09,2010,2,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner<br><br>Human DNA belongs to no one - it shouldn't be patented
219,2014-09,2012,1,Silicon Valley: an army of geeks and 'coders' shaping our future
220,2014-09,2013,6,Silicon Valley: an army of geeks and 'coders' shaping our future<br><br>Human DNA belongs to no one - it shouldn't be patented<br><br>The journalists who never sleep<br><br>Jetpacks: heres why you dont have one | Dean Burnett<br><br>Naomi Klein: We tried it your way and we dont have another decade to waste<br><br>Can Narendra Modi bring the solar power revolution to India?
221,2014-09,2015,4,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner<br><br>The journalists who never sleep<br><br>Naomi Klein: We tried it your way and we dont have another decade to waste<br><br>Can Narendra Modi bring the solar power revolution to India?
222,2014-09,2018,1,Can Narendra Modi bring the solar power revolution to India?
223,2014-09,2019,1,Can Narendra Modi bring the solar power revolution to India?
224,2014-09,2020,2,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner<br><br>Can Narendra Modi bring the solar power revolution to India?
225,2014-09,2021,1,Naomi Klein: We tried it your way and we dont have another decade to waste
226,2014-09,2022,1,Can Narendra Modi bring the solar power revolution to India?
227,2014-09,2025,1,The journalists who never sleep
228,2014-09,2026,1,Will robots take over the world? The social impact of automation
229,2014-09,2030,2,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner<br><br>Can Narendra Modi bring the solar power revolution to India?
230,2014-09,2070,1,Limits to Growth was right. New research shows we're nearing collapse | Cathy Alexander and Graham Turner
238,2014-10,1971,1,Healing trip: how psychedelic drugs could help treat depression
239,2014-10,1986,1,Bullied man uses video from sunglasses to mount private court case
240,2014-10,1989,1,Flying car approaches liftoff as most advanced prototype yet is unveiled
241,2014-10,1992,2,The lab-grown penis: approaching a medical milestone<br><br>Scientists ready to test lab-grown penises on men
242,2014-10,1994,1,The lab-grown penis: approaching a medical milestone
243,2014-10,1997,2,Healing trip: how psychedelic drugs could help treat depression<br><br>Ghosts in the machine: how AI research is bringing game characters to life
244,2014-10,1999,2,The lab-grown penis: approaching a medical milestone<br><br>Scientists ready to test lab-grown penises on men
245,2014-10,2003,1,Paralysed man Darek Fidyka walks again after pioneering surgery
246,2014-10,2004,2,The lab-grown penis: approaching a medical milestone<br><br>Scientists ready to test lab-grown penises on men
247,2014-10,2005,2,The lab-grown penis: approaching a medical milestone<br><br>Scientists ready to test lab-grown penises on men
248,2014-10,2006,1,The lab-grown penis: approaching a medical milestone
249,2014-10,2008,2,The lab-grown penis: approaching a medical milestone<br><br>Scientists ready to test lab-grown penises on men
250,2014-10,2009,1,Healing trip: how psychedelic drugs could help treat depression
251,2014-10,2010,3,Healing trip: how psychedelic drugs could help treat depression<br><br>Paralysed man Darek Fidyka walks again after pioneering surgery<br><br>Flying car approaches liftoff as most advanced prototype yet is unveiled
252,2014-10,2011,1,Healing trip: how psychedelic drugs could help treat depression
253,2014-10,2012,2,"Robots really are coming for your job, and there's nothing you can do about it | Nicholas Carr<br><br>Healing trip: how psychedelic drugs could help treat depression"
254,2014-10,2013,5,Healing trip: how psychedelic drugs could help treat depression<br><br>Ghosts in the machine: how AI research is bringing game characters to life<br><br>Powerful quantum computers move a step closer to reality<br><br>The future of business: what are the alternatives to capitalism?<br><br>Scientists grow miniature human stomachs from stem cells
255,2014-10,2015,3,The lab-grown penis: approaching a medical milestone<br><br>Healing trip: how psychedelic drugs could help treat depression<br><br>Powerful quantum computers move a step closer to reality
256,2014-10,2025,1,20 ways gigabit-speed internet access might change our lives by 2025
257,2014-10,2029,1,Powerful quantum computers move a step closer to reality
259,2014-11,1998,1,"Google has 'outgrown' its 14-year old mission statement, says Larry Page"
260,2014-11,2000,1,Artificial intelligence: how clever do we want our machines to be?
261,2014-11,2001,1,Artificial intelligence: how clever do we want our machines to be?
262,2014-11,2004,2,Scientists create lab-grown spinal cords<br><br>The Chinese scientific revolution aims to tackle climate change | John Abraham
263,2014-11,2009,1,How mans best friend could hold the key to anti-ageing
264,2014-11,2011,2,Pioneering scientists share 23m Breakthrough prize pot at US awards<br><br>Artificial intelligence: how clever do we want our machines to be?
265,2014-11,2012,1,Pioneering scientists share 23m Breakthrough prize pot at US awards
266,2014-11,2013,2,"Google and Facebook: voracious giants with the power to create the future<br><br>Forget smartwatches - smartclothes are the future, analysts say"
267,2014-11,2015,4,"How mans best friend could hold the key to anti-ageing<br><br>Pioneering scientists share 23m Breakthrough prize pot at US awards<br><br>Giant batteries connected to the grid: the future of energy storage?<br><br>Forget smartwatches - smartclothes are the future, analysts say"
268,2014-11,2016,1,"Forget smartwatches - smartclothes are the future, analysts say"
275,2014-12,1996,1,The future? Weve seen it all before | David Boyle
276,2014-12,2001,1,"Why we must not stall technological progress, despite its threat to humanity | Anil Seth"
277,2014-12,2002,1,Scientists use skin cells to create artificial sperm and eggs
278,2014-12,2004,2,"How digital maps are changing the way we understand our world<br><br>The truth about smart cities: In the end, they will destroy democracy'"
279,2014-12,2008,1,"The truth about smart cities: In the end, they will destroy democracy'"
280,2014-12,2011,2,Goal to end fossil fuels by 2050 surfaces in Lima UN climate documents | Graham Readfearn<br><br>Scientists use skin cells to create artificial sperm and eggs
281,2014-12,2012,3,Will robot shop assistants spell the end for shop work?<br><br>Technology is ready for synthetic foods. Are you?<br><br>Scientists use skin cells to create artificial sperm and eggs
282,2014-12,2013,3,"Technology is ready for synthetic foods. Are you?<br><br>The truth about smart cities: In the end, they will destroy democracy'<br><br>Hacker fakes German minister's fingerprints using photos of her hands"
283,2014-12,2015,5,"2015 will be the year wearable tech gets under the skin<br><br>Goal to end fossil fuels by 2050 surfaces in Lima UN climate documents | Graham Readfearn<br><br>Disaster Playground: how we would deal with a planet-killer asteroid?<br><br>2014 science breakthroughs: no more ageing, cave art and landing on a comet<br><br>Hacker fakes German minister's fingerprints using photos of her hands"
284,2014-12,2024,1,"The truth about smart cities: In the end, they will destroy democracy'"
285,2014-12,2050,1,Goal to end fossil fuels by 2050 surfaces in Lima UN climate documents | Graham Readfearn
289,2015-01,1974,1,Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman
290,2015-01,1985,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
291,2015-01,1989,3,"Radical new economic system will emerge from collapse of capitalism<br><br>Streaming: the future of the music industry, or its nightmare?<br><br>Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman"
292,2015-01,1990,1,Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman
293,2015-01,1994,1,Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman
294,2015-01,1996,1,Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman
295,2015-01,1998,1,British and Dutch researchers develop new form of lie-detector test
296,2015-01,2000,1,"CES 2015 roundup: superchips, driverless cars and follow-me drones"
297,2015-01,2001,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
298,2015-01,2003,1,British and Dutch researchers develop new form of lie-detector test
299,2015-01,2004,2,CES 2014: Does it really mean anything to be best in show?<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future
300,2015-01,2005,3,"Streaming: the future of the music industry, or its nightmare?<br><br>CES 2014: Does it really mean anything to be best in show?<br><br>Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman"
301,2015-01,2006,3,CES 2014: Does it really mean anything to be best in show?<br><br>Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future
302,2015-01,2007,3,"Streaming: the future of the music industry, or its nightmare?<br><br>CES 2014: Does it really mean anything to be best in show?<br><br>Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman"
303,2015-01,2008,2,CES 2014: Does it really mean anything to be best in show?<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future
304,2015-01,2009,1,CES 2014: Does it really mean anything to be best in show?
305,2015-01,2010,2,CES 2014: Does it really mean anything to be best in show?<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future
306,2015-01,2011,2,"Streaming: the future of the music industry, or its nightmare?<br><br>CES 2014: Does it really mean anything to be best in show?"
307,2015-01,2012,1,CES 2014: Does it really mean anything to be best in show?
308,2015-01,2013,4,"Streaming: the future of the music industry, or its nightmare?<br><br>CES 2014: Does it really mean anything to be best in show?<br><br>The Glass Cage: why automation threatens our brains as well as our jobs<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future"
309,2015-01,2014,10,"Streaming: the future of the music industry, or its nightmare?<br><br>CES 2014: Does it really mean anything to be best in show?<br><br>British and Dutch researchers develop new form of lie-detector test<br><br>Will robots take our jobs? Experts can't decide<br><br>CES 2015 roundup: superchips, driverless cars and follow-me drones<br><br>The Glass Cage: why automation threatens our brains as well as our jobs<br><br>Developers plan interceptor drone to hunt and crash other drones<br><br>Britain could become a leader in the billion-pound drone industry<br><br>Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman<br><br>Why we have to get smart about artificial intelligence"
310,2015-01,2016,2,Developers plan interceptor drone to hunt and crash other drones<br><br>When you wish upon a star: nuclear fusion and the promise of a brighter future
311,2015-01,2017,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
312,2015-01,2020,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
313,2015-01,2022,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
314,2015-01,2025,1,Will robots take our jobs? Experts can't decide
315,2015-01,2027,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
316,2015-01,2035,1,Why cant the worlds greatest minds solve the mystery of consciousness? | Oliver Burkeman
317,2015-01,2039,1,Radical new economic system will emerge from collapse of capitalism
318,2015-01,2050,1,When you wish upon a star: nuclear fusion and the promise of a brighter future
323,2015-02,1970,1,"First full body transplant is two years away, surgeon claims"
324,2015-02,1971,1,Driverless big rigs: new technologies aim for greener trucking
325,2015-02,1974,1,Driverless big rigs: new technologies aim for greener trucking
326,2015-02,1979,1,Driverless big rigs: new technologies aim for greener trucking
327,2015-02,1995,1,What will happen when the internet of things becomes artificially intelligent?
328,2015-02,1997,2,Driverless big rigs: new technologies aim for greener trucking<br><br>Google develops computer program capable of learning tasks independently
329,2015-02,2000,1,Robots are leaving the factory floor and heading for your desk  and your job
330,2015-02,2001,1,What will happen when the internet of things becomes artificially intelligent?
331,2015-02,2002,1,South Korean woman's hair 'eaten' by robot vacuum cleaner as she slept
332,2015-02,2007,1,Driverless big rigs: new technologies aim for greener trucking
333,2015-02,2008,1,Is it a surprise China will surpass US in R&D spending by 2019? Not really | Larry Elliott
334,2015-02,2010,1,Scientists urge global 'wake-up call' to deal with climate change
