,group,variable,value,articles
431,2015-05,2017,1,"Researchers develop method of fabricating perovskite solar cells that is more efficient, costs less"
432,2015-05,2020,2,Online voting a step closer thanks to breakthrough in security technology<br><br>CEO: Nissan will be ready with autonomous driving by 2020
433,2015-05,2025,1,Online voting a step closer thanks to breakthrough in security technology
434,2015-05,2030,1,You may be travelling less – and that's a good thing
436,2015-06,1990,1,FBI behind mysterious surveillance aircraft over US cities (Update)
437,2015-06,1998,1,"Using new data, US finds no pause in global warming"
438,2015-06,2002,1,Billionaires aim for cheaper spaceflight
439,2015-06,2003,1,FBI behind mysterious surveillance aircraft over US cities (Update)
440,2015-06,2007,1,FBI behind mysterious surveillance aircraft over US cities (Update)
441,2015-06,2008,2,Billionaires aim for cheaper spaceflight<br><br>Graphene breakthrough as Bosch creates magnetic sensor 100 times more sensitive than silicon equivalent
442,2015-06,2009,2,FBI behind mysterious surveillance aircraft over US cities (Update)<br><br>Google releases more details on self-driving car accidents
443,2015-06,2010,5,Strange behavior of quantum particles may indicate the existence of other parallel universes<br><br>Billionaires aim for cheaper spaceflight<br><br>Google releases more details on self-driving car accidents<br><br>Airbus developing reusable space rocket launcher<br><br>New manufacturing approach slices lithium-ion battery cost in half
444,2015-06,2011,3,FBI behind mysterious surveillance aircraft over US cities (Update)<br><br>Billionaires aim for cheaper spaceflight<br><br>Google releases more details on self-driving car accidents
445,2015-06,2012,1,Ikea invests 600 mln euros to be energy independent by 2020
446,2015-06,2013,3,"Strange behavior of quantum particles may indicate the existence of other parallel universes<br><br>Billionaires aim for cheaper spaceflight<br><br>Using new data, US finds no pause in global warming"
447,2015-06,2014,5,"Billionaires aim for cheaper spaceflight<br><br>Using new data, US finds no pause in global warming<br><br>Wearable tech 2.0 aims to alter mind, body<br><br>Will your self-driving car be programmed to kill you?<br><br>Renewable energy from evaporating water (w/ Video)"
448,2015-06,2015,18,"Bringing microgrids to rural villages<br><br>Distant moons may provide evidence of life beyond Earth, researchers say<br><br>FBI behind mysterious surveillance aircraft over US cities (Update)<br><br>Giant structures called plasmoids could simplify the design of future tokamaks<br><br>Strange behavior of quantum particles may indicate the existence of other parallel universes<br><br>QLEDs meet wearable devices<br><br>Billionaires aim for cheaper spaceflight<br><br>Planarian regeneration model discovered by artificial intelligence<br><br>Using new data, US finds no pause in global warming<br><br>Google releases more details on self-driving car accidents<br><br>Injectable electronics holds promise for basic neuroscience, treatment of neuro-degenerative diseases<br><br>Wearable tech 2.0 aims to alter mind, body<br><br>Will your self-driving car be programmed to kill you?<br><br>In tuning friction to the point where it disappears, technique could boost development of nanomachines<br><br>We can build remote-controlled rescue robots, but what's coming next is even more exciting<br><br>Renewable energy from evaporating water (w/ Video)<br><br>Future in-flight entertainment will know when you're asleep<br><br>World's first full-color, flexible, skin-like display developed"
449,2015-06,2016,2,"Billionaires aim for cheaper spaceflight<br><br>Wearable tech 2.0 aims to alter mind, body"
450,2015-06,2017,1,Will your self-driving car be programmed to kill you?
451,2015-06,2020,3,Ikea invests 600 mln euros to be energy independent by 2020<br><br>Fully renewable energy system is economically viable in Finland in 2050<br><br>New manufacturing approach slices lithium-ion battery cost in half
452,2015-06,2030,1,"Engineers develop state-by-state plan to convert US to 100% clean, renewable energy by 2050"
453,2015-06,2050,2,"Fully renewable energy system is economically viable in Finland in 2050<br><br>Engineers develop state-by-state plan to convert US to 100% clean, renewable energy by 2050"
456,2015-07,1977,1,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting
457,2015-07,1980,1,Engineers test fly printed aircraft off warship
458,2015-07,1981,1,"Hoverbike could be a reality in three to five years, creators say"
459,2015-07,1995,1,"Virtual reality technology expands to a blitz of uses, including football"
460,2015-07,1998,1,No sci-fi joke: 'killer robots' strike fear into tech leaders
461,2015-07,2002,2,Global roadmap for better understanding space weather released<br><br>The future of data science looks spectacular
462,2015-07,2006,1,Researchers announce another 5G breakthrough
463,2015-07,2008,1,Model shows how surge in wealth inequality may be reversed
464,2015-07,2009,1,"Hoverbike could be a reality in three to five years, creators say"
465,2015-07,2010,2,"We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br><br>Virtual reality technology expands to a blitz of uses, including football"
466,2015-07,2011,1,Engineers test fly printed aircraft off warship
467,2015-07,2012,2,"No sci-fi joke: 'killer robots' strike fear into tech leaders<br><br>Toyota robot can pick up after people, help the sick"
468,2015-07,2013,1,Robotic insect mimics nature's extreme moves
469,2015-07,2014,4,"Autonomous taxis would deliver significant environmental and economic benefits, new study shows<br><br>Omnidirectional free space wireless charging developed<br><br>Virtual reality technology expands to a blitz of uses, including football<br><br>Robots under test for oil and gas rig duty"
470,2015-07,2015,20,"New method of quantum entanglement vastly increases how much information can be carried in a photon<br><br>Autonomous taxis would deliver significant environmental and economic benefits, new study shows<br><br>Engineers give invisibility cloaks a slimmer design<br><br>Omnidirectional free space wireless charging developed<br><br>We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br><br>Virtual reality technology expands to a blitz of uses, including football<br><br>Robots under test for oil and gas rig duty<br><br>Density-near-zero acoustical metamaterial made in China<br><br>After 85-year search, massless particle with promise for next-generation electronics found<br><br>Hoverbike could be a reality in three to five years, creators say<br><br>University of Michigan opens test ""city"" for autonomous cars<br><br>The future of data science looks spectacular<br><br>Study of human body fluid shifts aboard space station advances journey to Mars<br><br>Changing the color of light<br><br>Superfast fluorescence sets new speed record<br><br>No sci-fi joke: 'killer robots' strike fear into tech leaders<br><br>Toyota robot can pick up after people, help the sick<br><br>Researchers announce another 5G breakthrough<br><br>Cheetah robot lands the running jump (w/ Video)<br><br>Robotic insect mimics nature's extreme moves"
471,2015-07,2016,2,"Virtual reality technology expands to a blitz of uses, including football<br><br>Toyota robot can pick up after people, help the sick"
472,2015-07,2018,2,Robots under test for oil and gas rig duty<br><br>New project aims to establish a human colony on Mars
473,2015-07,2020,1,New project aims to establish a human colony on Mars
474,2015-07,2022,1,Irregular heartbeat of the Sun driven by double dynamo
475,2015-07,2030,1,"Autonomous taxis would deliver significant environmental and economic benefits, new study shows"
476,2015-07,2035,2,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting<br><br>What if all cars were electric?
477,2015-07,2045,1,We could find aliens any day now—SETI scientists discuss extraterrestrial life hunting
478,2015-07,2060,1,"Toyota robot can pick up after people, help the sick"
482,2015-08,1995,1,Scientists discover atomic-resolution details of brain signaling
483,2015-08,1998,1,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015"
484,2015-08,1999,1,Opinion: The threat of robots and automation taking jobs is being overstated
485,2015-08,2001,1,Quantum computer that 'computes without running' sets efficiency record
486,2015-08,2011,1,One year and counting: Mars isolation experiment begins
487,2015-08,2012,1,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015"
488,2015-08,2013,2,Team claims to have created a sample of stanene<br><br>Scientists discover atomic-resolution details of brain signaling
489,2015-08,2014,3,"US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015<br><br>How to preserve fleeting digital information with DNA for future generations<br><br>Quantum dot solar windows go non-toxic, colorless, with record efficiency"
490,2015-08,2015,10,"Like paper, graphene twists and folds into nanoscale machines<br><br>From cameras to computers, new material could change how we work and play<br><br>Graphene nanoribbon finding could lead to faster, more efficient electronics<br><br>New design could finally help to bring fusion power closer to reality<br><br>US distributed solar prices fell 10 to 20 percent in 2014, with trends continuing into 2015<br><br>Glass paint could keep metal roofs and other structures cool even on sunny days<br><br>How to preserve fleeting digital information with DNA for future generations<br><br>Scientists discover atomic-resolution details of brain signaling<br><br>One year and counting: Mars isolation experiment begins<br><br>Opinion: The threat of robots and automation taking jobs is being overstated"
491,2015-08,2016,1,One year and counting: Mars isolation experiment begins
494,2015-09,1987,1,Scientists discover new system for human genome editing
495,2015-09,1994,1,Organic 'computers' made of DNA could process data inside our bodies
496,2015-09,2000,1,Organic 'computers' made of DNA could process data inside our bodies
497,2015-09,2001,1,New synthesis method imitates the way molecules were formed at the dawn of life on Earth
498,2015-09,2003,1,Frankenvirus emerges from Siberia's frozen wasteland
499,2015-09,2004,2,"Frankenvirus emerges from Siberia's frozen wasteland<br><br>Plastic-eating worms may offer solution to mounting waste, researchers discover"
500,2015-09,2005,1,PolyU develops novel efficient and low-cost semitransparent perovskite solar cells with graphene electrodes
501,2015-09,2007,1,Curly nanowires catch more light to power nanoscale electronic circuits
502,2015-09,2008,1,How to build the world's fastest car
503,2015-09,2010,3,Breakthrough brings futuristic electronics a step nearer<br><br>Robot revolution sweeps China's factory floors<br><br>Scientists discover new system for human genome editing
504,2015-09,2011,2,Organic 'computers' made of DNA could process data inside our bodies<br><br>Scientists discover new system for human genome editing
505,2015-09,2013,3,Frankenvirus emerges from Siberia's frozen wasteland<br><br>Breakthrough brings futuristic electronics a step nearer<br><br>Scientists discover new system for human genome editing
506,2015-09,2014,9,"Quantum computing will bring immense processing possibilities<br><br>System learns to distinguish words' phonetic components, without human annotation of training data<br><br>Researchers create fatigue-free, stretchable conductor<br><br>Engineers invent transparent coating that cools solar cells to boost efficiency<br><br>Fossil fuel divestment movement reaches $2.6 trillion<br><br>Robot revolution sweeps China's factory floors<br><br>A rechargeable battery to power a home from rooftop solar panels<br><br>India backs solar as Paris climate talks loom<br><br>New research puts us closer to DIY spray-on solar cell technology"
507,2015-09,2015,23,"Quantum computing will bring immense processing possibilities<br><br>Squishy transistors—a device concept for fast, low-power electronics<br><br>New nanomaterial maintains conductivity in 3-D<br><br>Frankenvirus emerges from Siberia's frozen wasteland<br><br>The key to charging a lithium-ion battery rapidly<br><br>Nano in food and agriculture: Regulations require collaboration to ensure safety<br><br>More efficient memory-management scheme could help enable chips with thousands of cores<br><br>System learns to distinguish words' phonetic components, without human annotation of training data<br><br>Hybrid solar cell converts both light and heat from sun's rays into electricity<br><br>Discovery of a highly efficient catalyst eases way to hydrogen economy<br><br>New efficiency record for solar hydrogen production is 14 percent<br><br>System can convert MRI heart scans into 3D-printed, physical models in a few hours<br><br>Researchers create fatigue-free, stretchable conductor<br><br>Robot revolution sweeps China's factory floors<br><br>A rechargeable battery to power a home from rooftop solar panels<br><br>New hybrid solar panel roof slashes energy bills<br><br>Scientists discover new system for human genome editing<br><br>Zuckerberg, Gates make bid for universal Internet access<br><br>First optical rectenna—combined rectifier and antenna—converts light to DC current<br><br>India backs solar as Paris climate talks loom<br><br>Self-assembling material that grows and changes shape could lead to artificial arteries<br><br>New research puts us closer to DIY spray-on solar cell technology<br><br>Plastic-eating worms may offer solution to mounting waste, researchers discover"
508,2015-09,2016,4,New efficiency record for solar hydrogen production is 14 percent<br><br>Robot revolution sweeps China's factory floors<br><br>How to build the world's fastest car<br><br>India backs solar as Paris climate talks loom
509,2015-09,2019,1,A peek into our robotic future
510,2015-09,2020,3,IBM helps automakers build Internet of Things connected vehicles<br><br>Robot revolution sweeps China's factory floors<br><br>India backs solar as Paris climate talks loom
511,2015-09,2022,1,India backs solar as Paris climate talks loom
512,2015-09,2030,2,"Zuckerberg, Gates make bid for universal Internet access<br><br>New research puts us closer to DIY spray-on solar cell technology"
513,2015-10,2000,1,Researchers develop new method for scaling up quantum devices
514,2015-10,2005,1,"Scientists produce clearest-ever images of enzyme that plays key roles in aging, cancer"
515,2015-10,2008,1,Researchers use engineered viruses to provide quantum-based enhancement of energy transport
516,2015-10,2009,1,"Scientists produce clearest-ever images of enzyme that plays key roles in aging, cancer"
517,2015-10,2012,1,Crucial hurdle overcome in quantum computing
518,2015-10,2014,2,Breakthrough paves way for post-silicon future with carbon nanotube electronics<br><br>Engineers create artificial skin that can send pressure sensation to brain cell
519,2015-10,2015,14,"Breakthrough paves way for post-silicon future with carbon nanotube electronics<br><br>Crucial hurdle overcome in quantum computing<br><br>Liquid cooling moves onto the chip for denser electronics<br><br>UNESCO experts call for ban on genetic 'editing'<br><br>NASA completes successful heat shield testing for future Mars exploration vehicles<br><br>Israeli team advances in contest to send spacecraft to moon<br><br>NASA challenge seeks ways to use Mars' natural resources for astronauts<br><br>New programming approach seeks to make large-scale computation more reliable<br><br>Shift from fossil fuels risks popping 'carbon bubble': World Bank<br><br>Should cars be fully driverless? No, says an engineer and historian<br><br>Engineers create artificial skin that can send pressure sensation to brain cell<br><br>Scientists produce clearest-ever images of enzyme that plays key roles in aging, cancer<br><br>Google invests in Chinese artificial intelligence firm<br><br>Scientists design full-scale architecture for quantum computer in silicon"
520,2015-10,2016,1,Israeli team advances in contest to send spacecraft to moon
521,2015-10,2017,1,Israeli team advances in contest to send spacecraft to moon
522,2015-10,2020,1,Shift from fossil fuels risks popping 'carbon bubble': World Bank
528,2015-11,1978,1,Austria's largest state goes 100% renewable
529,2015-11,1988,1,Heads up: Cambridge holographic technology adopted by Jaguar Land Rover
530,2015-11,2001,1,Heads up: Cambridge holographic technology adopted by Jaguar Land Rover
531,2015-11,2002,1,Austria's largest state goes 100% renewable
532,2015-11,2004,1,Heads up: Cambridge holographic technology adopted by Jaguar Land Rover
533,2015-11,2005,2,What problems will AI solve in future? An old British gameshow can help explain<br><br>Heads up: Cambridge holographic technology adopted by Jaguar Land Rover
534,2015-11,2008,1,Microbes map path toward renewable energy future
535,2015-11,2009,1,Second Law of Thermodynamics May Explain Economic Evolution
536,2015-11,2010,1,Ultrasensitive sensors made from boron-doped graphene
537,2015-11,2011,1,Toyota invests $1 billion in artificial intelligence in US
538,2015-11,2012,2,"Microbes map path toward renewable energy future<br><br>As bitcoin's value surges, backers say the currency may soon go mainstream"
539,2015-11,2013,2,Microbes map path toward renewable energy future<br><br>Feds revising wary stance on self-driving cars (Update)
540,2015-11,2014,6,"What problems will AI solve in future? An old British gameshow can help explain<br><br>As bitcoin's value surges, backers say the currency may soon go mainstream<br><br>Utilities see potential in drones to inspect lines, towers<br><br>Feds revising wary stance on self-driving cars (Update)<br><br>Computer scientists achieve breakthrough in pheromone-based swarm communications in robots<br><br>Heads up: Cambridge holographic technology adopted by Jaguar Land Rover"
541,2015-11,2015,20,"The battle for informational self-determination<br><br>Ultrasensitive sensors made from boron-doped graphene<br><br>A rap generator is now available to the public on the Internet<br><br>Toyota invests $1 billion in artificial intelligence in US<br><br>Professor to unveil self-levitating displays (w/ Video)<br><br>Second harmonic generation in a high-Q crystal microresonator fabricated by femtosecond laser<br><br>Austria's largest state goes 100% renewable<br><br>Team trains Watson AI to 'chat,' spark more creativity in humans<br><br>Onion-like layers help this efficient new nanoparticle glow<br><br>As bitcoin's value surges, backers say the currency may soon go mainstream<br><br>Quantum computer coding in silicon now possible<br><br>Invention of forge-proof ID to revolutionise security<br><br>Clothes smarter than you are: welcome to the future<br><br>Smart camera tech that could automate cars, home, security settings<br><br>Utilities see potential in drones to inspect lines, towers<br><br>Feds revising wary stance on self-driving cars (Update)<br><br>Robot to help passengers find their way at airport<br><br>Heads up: Cambridge holographic technology adopted by Jaguar Land Rover<br><br>How can people safely take control from a self-driving car?<br><br>Researchers find new phase of carbon, make diamond at room temperature"
542,2015-11,2016,4,"Toyota invests $1 billion in artificial intelligence in US<br><br>As bitcoin's value surges, backers say the currency may soon go mainstream<br><br>Robot to help passengers find their way at airport<br><br>How can people safely take control from a self-driving car?"
543,2015-11,2025,1,"As bitcoin's value surges, backers say the currency may soon go mainstream"
544,2015-11,2030,1,Austria's largest state goes 100% renewable
549,2015-12,1990,1,Study assesses solar photovoltaic technologies
550,2015-12,2001,1,Study assesses solar photovoltaic technologies
551,2015-12,2002,1,The technology in science fiction is not always what we want in the real world
552,2015-12,2004,1,Nanodevices at one-hundredth the cost
553,2015-12,2005,2,China 'clone factory' scientist eyes human replication<br><br>Computing with time travel
554,2015-12,2007,1,"Gorilla Glass, used for cell phones, is coming to cars"
555,2015-12,2008,1,Study assesses solar photovoltaic technologies
556,2015-12,2010,1,Study assesses solar photovoltaic technologies
557,2015-12,2012,2,"Gorilla Glass, used for cell phones, is coming to cars<br><br>Gene-editing is Science mag's breakthrough of 2015"
558,2015-12,2013,3,Solar cells that can face almost any direction and keep themselves clean<br><br>Gene-editing is Science mag's breakthrough of 2015<br><br>Engineers demo first processor that uses light for ultrafast communications
559,2015-12,2014,7,"The technology in science fiction is not always what we want in the real world<br><br>Skyscraper-style chip design boosts performance 1,000-fold<br><br>Gorilla Glass, used for cell phones, is coming to cars<br><br>50 percent of retail will be automated by 2020<br><br>Study assesses solar photovoltaic technologies<br><br>Gene-editing is Science mag's breakthrough of 2015<br><br>New dawn or Wild West? 'Sharing economy' goes global"
560,2015-12,2015,19,"China 'clone factory' scientist eyes human replication<br><br>World's first office papermaking system that turns waste paper into new paper<br><br>Doomsday revisited: will warming deprive us of oxygen?<br><br>Warm countries launch Sun-energy alliance<br><br>Will Europe soon be cold?<br><br>The technology in science fiction is not always what we want in the real world<br><br>What makes Tom Hanks look like Tom Hanks?<br><br>DNA-based electromechanical switch demonstrated<br><br>Looking for the future of tech<br><br>Gorilla Glass, used for cell phones, is coming to cars<br><br>50 percent of retail will be automated by 2020<br><br>Study assesses solar photovoltaic technologies<br><br>Nanodevices at one-hundredth the cost<br><br>Gene-editing is Science mag's breakthrough of 2015<br><br>New dawn or Wild West? 'Sharing economy' goes global<br><br>Robots learn by watching how-to videos<br><br>Engineers demo first processor that uses light for ultrafast communications<br><br>Exceptionally strong and lightweight new metal created<br><br>Germany gives green light to bicycle highways"
561,2015-12,2016,6,"For Israeli firm, an answer to global warming blowing in the wind<br><br>'Gene-edited' cells must not be used for pregnancy: scientists<br><br>Skyscraper-style chip design boosts performance 1,000-fold<br><br>Gorilla Glass, used for cell phones, is coming to cars<br><br>Nanodevices at one-hundredth the cost<br><br>Virtual reality is finally here, yet still has a ways to go"
562,2015-12,2017,1,Wrapping buildings in a layer of insulating liquid
563,2015-12,2018,1,"For Israeli firm, an answer to global warming blowing in the wind"
564,2015-12,2020,2,China 'clone factory' scientist eyes human replication<br><br>50 percent of retail will be automated by 2020
565,2015-12,2021,1,Warm countries launch Sun-energy alliance
566,2015-12,2022,1,Warm countries launch Sun-energy alliance
567,2015-12,2025,2,Looking for the future of tech<br><br>New dawn or Wild West? 'Sharing economy' goes global
568,2015-12,2030,1,Warm countries launch Sun-energy alliance
569,2015-12,2050,2,Study finds promise in expanding renewables based on results in three major economies<br><br>Study assesses solar photovoltaic technologies
580,2016-01,1984,1,"Not so science fiction after all, the internet could  out-evolve humanity"
581,2016-01,1986,1,Wind energy costs approach nonrenewable levels
582,2016-01,1988,1,Wind energy costs approach nonrenewable levels
583,2016-01,1990,1,"Rapid, affordable energy transformation possible, study says"
584,2016-01,1996,2,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>NIST simulates fast, accurate DNA sequencing through graphene nanopore"
585,2016-01,2000,2,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>Internet set to cut cord with US government this year"
586,2016-01,2002,1,Chemists uncover how key agent allows diseases to reproduce
587,2016-01,2003,1,The race to hypersonic speed—will air passengers feel the benefits?
588,2016-01,2006,1,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid"
589,2016-01,2007,1,Scientists propose high-efficiency wireless power transfer system
590,2016-01,2008,1,Combined approach used to investigate photophysics of green fluorescent protein
591,2016-01,2009,2,"New nanosheet growth technique has potential to revolutionize nanotechnology industry<br><br>Japan unveils stealth plane, may combine with next-gen jet"
592,2016-01,2010,1,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid"
593,2016-01,2011,2,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>Increasing oil's performance with crumpled graphene balls"
594,2016-01,2012,4,"Human-machine superintelligence can solve the world's most dire problems<br><br>In a driverless future, what happens to today's drivers?<br><br>Rapid, affordable energy transformation possible, study says<br><br>Innovative imaging systems on the Wendelstein 7-X bring steady-state fusion energy closer to reality"
595,2016-01,2013,2,"New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>In a driverless future, what happens to today's drivers?"
596,2016-01,2014,8,High-fidelity CRISPR-Cas9 nucleases have no detectable off-target mutations<br><br>Will computers ever truly understand what we're saying?<br><br>Internet set to cut cord with US government this year<br><br>Denmark sets wind energy world record<br><br>Computer generated math proof is too large for humans to check<br><br>Wind energy costs approach nonrenewable levels<br><br>Modern-day metabolism could have originated in 4-billion-year-old oceans<br><br>Chemists uncover how key agent allows diseases to reproduce
597,2016-01,2015,17,"Human-machine superintelligence can solve the world's most dire problems<br><br>Chinese drone maker unveils human-carrying drone<br><br>New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>In a driverless future, what happens to today's drivers?<br><br>Tesla bulks up on IT talent for 'car of the future' fight<br><br>Internet set to cut cord with US government this year<br><br>Chemists devise powerful new method for modifying drug molecules<br><br>Combined approach used to investigate photophysics of green fluorescent protein<br><br>European space boss has Moon Village plan<br><br>Scientists demonstrate basics of nucleic acid computing inside cells<br><br>Denmark sets wind energy world record<br><br>Fuel cell electrolyte developed to offer cleaner, more efficient energy<br><br>Neutral result charges up antimatter research<br><br>New nanosheet growth technique has potential to revolutionize nanotechnology industry<br><br>Graphene composite may keep wings ice-free<br><br>The race to hypersonic speed—will air passengers feel the benefits?<br><br>Too-few proteins prompt nanoparticles to clump"
598,2016-01,2016,64,"Preparing for large-scale solar deployment<br><br>Driverless taxi on Seoul campus offers glimpse of future<br><br>Scientists create 'nano-reactor' for the production of hydrogen biofuel<br><br>Kia sees autonomous cars by 2030<br><br>New efficiency record set with dual-junction solar cell<br><br>GM unveils Bolt electric car in Vegas<br><br>Chinese drone maker unveils human-carrying drone<br><br>New wave in tech: hacking the brain (Update)<br><br>Transport of the future takes many shapes at tech show<br><br>Will computers ever truly understand what we're saying?<br><br>New battery made of molten metals may offer low-cost, long-lasting storage for the grid<br><br>In a driverless future, what happens to today's drivers?<br><br>Human-made climate change may be suppressing the next ice age (Update)<br><br>Tesla bulks up on IT talent for 'car of the future' fight<br><br>Could the digital world eventually compete with the biological world?<br><br>Can car crashes become thing of past?<br><br>Internet set to cut cord with US government this year<br><br>Water ice found on the surface of comet 67P<br><br>Nanodevice, build thyself<br><br>New particle can track chemo<br><br>Fuel cell breakthrough: Team reports success with low-cost nickel-based catalyst<br><br>Chemists devise powerful new method for modifying drug molecules<br><br>Tunable materials clear the way for advanced optics<br><br>SpaceX to launch ocean satellite, try water return Sunday<br><br>European space boss has Moon Village plan<br><br>Could this be humanity's last century?<br><br>Light-activated nanoparticles prove effective against antibiotic-resistant 'superbugs'<br><br>Scientists discover blueprint of body's heat sensor<br><br>New tool puts accurate DNA analysis in fast lane<br><br>Have scientists really found something tougher than nature's invincible material?<br><br>Bismuth-based nanoribbons show 'topological' transport, potential for new technologies<br><br>Switchable material could enable new memory chips<br><br>Charging an electric car as fast as filling a tank of gas<br><br>Researchers developing sponge-like material to more efficiently store natural gas<br><br>Structure of protein complex that plays key role in modulating immune system revealed<br><br>Research reveals mechanism for direct synthesis of hydrogen peroxide<br><br>Fuel cell electrolyte developed to offer cleaner, more efficient energy<br><br>Researchers go for the gold on a single chip<br><br>Neutral result charges up antimatter research<br><br>New nanosheet growth technique has potential to revolutionize nanotechnology industry<br><br>Mystery surrounding non-platinum catalysts for fuel cell technologies solved<br><br>Scientists use household oven to help decontaminate carbon nanotubes<br><br>Physicists create magnetic state in atomic layers of transition metal oxide<br><br>Wind energy costs approach nonrenewable levels<br><br>A new quantum approach to big data<br><br>Modern-day metabolism could have originated in 4-billion-year-old oceans<br><br>Highly efficient heavy metal ions filter<br><br>Novel 4-D printing method blossoms from botanical inspiration<br><br>Increasing oil's performance with crumpled graphene balls<br><br>Rapid, affordable energy transformation possible, study says<br><br>In plasmonics, 'optical losses' could bring practical gain<br><br>Electrostrictive polymers: Energy harvesting via smart materials<br><br>Novel nanotechnology technique makes table-top production of flat optics a reality<br><br>Nano-coating makes coaxial cables lighter<br><br>For this nanocatalyst reaction, one atom makes a big difference<br><br>Japan unveils stealth plane, may combine with next-gen jet<br><br>Too-few proteins prompt nanoparticles to clump<br><br>Completely new kind of polymer developed<br><br>Chemists uncover how key agent allows diseases to reproduce<br><br>Silicon-based metamaterials could bring photonic circuits<br><br>New study using cryo-electron microscopy shows how potential drugs could inhibit cancer<br><br>Crystal frameworks hold potential to deter pollution<br><br>Innovative imaging systems on the Wendelstein 7-X bring steady-state fusion energy closer to reality<br><br>MIT wins design competition for Elon Musk's Hyperloop"
599,2016-01,2017,5,Tesla bulks up on IT talent for 'car of the future' fight<br><br>Can car crashes become thing of past?<br><br>Internet set to cut cord with US government this year<br><br>Neutral result charges up antimatter research<br><br>Science journal issues expression of concern over chemistry paper
600,2016-01,2018,2,Kia sees autonomous cars by 2030<br><br>Tesla bulks up on IT talent for 'car of the future' fight
601,2016-01,2019,1,Tesla bulks up on IT talent for 'car of the future' fight
602,2016-01,2020,6,Driverless taxi on Seoul campus offers glimpse of future<br><br>Kia sees autonomous cars by 2030<br><br>Tesla bulks up on IT talent for 'car of the future' fight<br><br>Can car crashes become thing of past?<br><br>European space boss has Moon Village plan<br><br>Denmark sets wind energy world record
603,2016-01,2024,1,European space boss has Moon Village plan
604,2016-01,2025,1,"Rapid, affordable energy transformation possible, study says"
605,2016-01,2028,1,"Japan unveils stealth plane, may combine with next-gen jet"
606,2016-01,2030,4,"Driverless taxi on Seoul campus offers glimpse of future<br><br>Kia sees autonomous cars by 2030<br><br>Transport of the future takes many shapes at tech show<br><br>Rapid, affordable energy transformation possible, study says"
607,2016-01,2050,1,Preparing for large-scale solar deployment
616,2016-02,1980,1,Intelligent robots threaten millions of jobs
617,2016-02,1992,1,"City lights, urban sprawl, and uncovering the future of ecology with Dr. Peter Groffman"
618,2016-02,2001,1,Physicists create artificial 'graphene'
619,2016-02,2002,1,"Parched Earth soaks up water, slowing sea level rise: study"
620,2016-02,2006,1,How synthetic biology will solve biological mysteries and make humans safer in space
621,2016-02,2007,1,How synthetic biology will solve biological mysteries and make humans safer in space
622,2016-02,2009,3,Nanosheet growth technique could revolutionize nanomaterial production<br><br>How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Study predicts world economy unlikely to stop relying on fossil fuels
623,2016-02,2010,3,Physicists create artificial 'graphene'<br><br>How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Fuel cells powering inner-city vehicles
624,2016-02,2011,2,How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Scientists in Germany switch on nuclear fusion experiment (Update)
625,2016-02,2012,1,How synthetic biology will solve biological mysteries and make humans safer in space
626,2016-02,2013,3,How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Eternal 5D data storage could record the history of humankind<br><br>Quantum dot solids: This generation's silicon wafer?
627,2016-02,2014,5,Physicists create artificial 'graphene'<br><br>How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Study predicts world economy unlikely to stop relying on fossil fuels<br><br>Intelligent robots threaten millions of jobs<br><br>Why we will still need oil and gas in the future
628,2016-02,2015,11,"City lights, urban sprawl, and uncovering the future of ecology with Dr. Peter Groffman<br><br>How synthetic biology will solve biological mysteries and make humans safer in space<br><br>Scientists in Germany switch on nuclear fusion experiment (Update)<br><br>Study predicts world economy unlikely to stop relying on fossil fuels<br><br>Intelligent robots threaten millions of jobs<br><br>Augmented reality looks to future where screens vanish<br><br>Smartphones to replace cards at bank machines<br><br>Low-carbon policies could prevent up to 175,000 US deaths by 2030<br><br>Researchers discover a royal flush in powering fuel cells with wastewater<br><br>The key to mass-producing nanomaterials<br><br>Why we will still need oil and gas in the future"
